library_id	animal_id	reads_total	dna_id	batch	sex	dob	sample_date
LID_101336	94H	4755258	DID_1001155	4	m	1998-01-16	2012-01-18
LID_101337	O52	3139475	DID_1001156	1	f	1988-01-16	2014-01-15
LID_101338	00O	1703022	DID_1001158	1	f	1999-12-01	2014-01-28
LID_101339	52Z	2963388	DID_1001159	4	f	2004-10-24	2012-02-28
LID_101340	00V	3836320	DID_1001253	4	f	2003-12-14	2012-02-09
LID_101341	6F2	3066225	DID_1001161	4	f	2007-09-27	2012-01-30
LID_101342	9E6	3902809	DID_1001166	1	m	2007-10-15	2012-12-18
LID_101343	52P	3158761	DID_1001167	1	f	2000-12-17	2012-03-14
LID_101344	1A6	3353072	DID_1001169	1	m	2004-10-21	2012-02-09
LID_101345	1E2	2689990	DID_1001170	5	f	2006-10-17	2012-11-27
LID_101346	47Z	3839426	DID_1001171	1	f	2004-10-08	2014-02-04
LID_101347	2A5	3111184	DID_1001172	1	f	2005-01-01	2012-03-13
LID_101348	49V	4249319	DID_1001173	4	f	2003-11-15	2012-02-29
LID_101349	53E	3089174	DID_1001174	3	f	1996-02-12	2012-01-19
LID_101350	43N	4584663	DID_1001175	4	m	1999-11-11	2012-01-26
LID_101351	64D	3834208	DID_1001176	3	f	1995-04-08	2014-01-15
LID_101352	7F5	3479984	DID_1001178	1	m	2007-11-11	2012-12-04
LID_101353	4D8	2585595	DID_1001179	1	f	2006-09-29	2013-01-23
LID_101354	2F2	3151429	DID_1001180	1	f	2007-11-19	2012-11-27
LID_101355	0I5	3006365	DID_1001182	1	f	2008-10-08	2012-12-18
LID_101356	22R	3600615	DID_1001183	4	m	2001-10-27	2012-02-07
LID_101357	8D6	2499598	DID_1001184	1	m	2006-10-19	2012-01-30
LID_101358	20S	4173616	DID_1001185	4	f	2001-11-29	2012-02-02
LID_101359	24V	3512591	DID_1001186	4	f	2003-12-09	2012-03-05
LID_101360	2C9	2621447	DID_1001188	1	m	2005-10-25	2012-01-26
LID_101361	50P	2550055	DID_1001189	1	m	2001-03-20	2012-12-12
LID_101362	9E8	3029943	DID_1001190	1	f	2008-01-24	2014-12-01
LID_101363	8C0	2882597	DID_1001191	1	m	2006-10-12	2012-01-30
LID_101364	T84	2788623	DID_1001192	2	f	1990-02-20	2014-01-14
LID_101365	56K	3971703	DID_1001193	1	m	1999-01-08	2014-01-30
LID_101366	51V	3656660	DID_1001194	1	f	2003-10-29	2012-12-10
LID_101367	12Z	2161288	DID_1001195	1	m	2003-12-03	2012-03-13
LID_101368	31S	1685568	DID_1001196	3	m	2001-12-05	2012-02-07
LID_101369	85B	3420860	DID_1001197	4	m	1993-12-11	2012-01-17
LID_101370	0G9	2291847	DID_1001198	1	m	2008-11-09	2012-12-11
LID_101371	88N	2027561	DID_1001199	2	f	2000-02-25	2012-01-26
LID_101372	57T	3430414	DID_1001200	2	f	2002-11-05	2012-01-31
LID_101373	35N	3294590	DID_1001201	3	f	2000-01-01	2014-01-27
LID_101374	0B6	2567814	DID_1001202	2	f	2004-11-29	2012-02-06
LID_101375	96Z	4899911	DID_1001203	5	m	2004-11-20	2012-11-28
LID_101376	4A9	3341518	DID_1001204	2	f	2004-12-31	2012-01-26
LID_101377	19A	2935782	DID_1001205	3	f	1992-03-01	2014-01-15
LID_101378	62V	3692949	DID_1001206	4	f	2003-12-04	2012-02-07
LID_101379	6D6	1397766	DID_1001207	1	f	2006-10-26	2012-12-12
LID_101380	5E8	2734269	DID_1001208	2	f	2008-01-15	2014-02-06
LID_101381	86Z	3702237	DID_1001209	3	f	2004-10-19	2012-02-27
LID_101382	82A	1747706	DID_1001210	2	f	1993-01-29	2013-02-04
LID_101383	2D5	4993019	DID_1001211	5	m	2006-10-27	2012-12-12
LID_101384	3C3	3165036	DID_1001213	1	f	2005-10-30	2014-02-10
LID_101385	2A2	3549262	DID_1001214	5	f	2004-11-28	2012-02-02
LID_101386	2F9	1417482	DID_1001215	2	m	2007-12-21	2012-12-12
LID_101387	24B	3931316	DID_1001216	4	f	1993-01-08	2014-01-27
LID_101388	29B	3920420	DID_1001217	4	f	1993-01-08	2014-02-05
LID_101389	9H7	2681199	DID_1001218	2	f	2008-10-10	2012-12-18
LID_101390	1E5	2948562	DID_1001219	2	m	2006-10-29	2012-12-03
LID_101391	7F0	1938957	DID_1001220	2	f	2007-09-24	2012-11-27
LID_101392	88T	4216929	DID_1001221	3	m	2003-12-04	2012-01-23
LID_101393	48V	1896663	DID_1001222	3	f	2003-12-02	2014-02-11
LID_101394	77I	3919023	DID_1001223	4	m	1998-01-13	2014-02-10
LID_101395	81O	2873426	DID_1001224	3	m	2000-11-13	2012-03-01
LID_101396	98T	3271022	DID_1001225	4	f	2004-01-12	2014-01-14
LID_101397	56E	3881282	DID_1001226	3	f	1996-02-04	2013-12-04
LID_101398	53Z	2915628	DID_1001228	4	f	2004-11-01	2013-12-03
LID_101399	6D9	2369565	DID_1001229	5	f	2006-11-02	2013-01-17
LID_101400	3E2	3070755	DID_1001230	3	f	2006-10-16	2012-02-06
LID_101401	85T	2390095	DID_1001231	3	f	2003-10-31	2012-01-30
LID_101402	6D4	4740693	DID_1001232	5	f	2006-10-14	2012-11-27
LID_101403	6C2	2094770	DID_1001233	2	f	2005-10-06	2012-03-01
LID_101404	4G8	2221685	DID_1001234	2	m	2008-10-10	2013-01-16
LID_101405	4C5	2672669	DID_1001235	5	f	2005-12-14	2013-01-22
LID_101406	6B2	3598835	DID_1001237	5	m	2005-10-22	2012-01-19
LID_101407	96B	3004489	DID_1001238	1	m	1994-01-06	2012-12-17
LID_101408	25L	3006180	DID_1001239	4	m	2000-01-08	2012-02-09
LID_101409	7C0	3020219	DID_1001240	2	f	2005-11-22	2012-01-30
LID_101410	64P	1833549	DID_1001241	2	f	2000-12-11	2014-02-03
LID_101411	9E3	4432420	DID_1001242	5	m	2007-11-27	2012-12-03
LID_101413	0C6	1698074	DID_1001244	3	f	2005-12-20	2014-02-05
LID_101414	40L	3459290	DID_1001245	3	f	1999-12-26	2014-02-04
LID_101415	42L	4104399	DID_1001246	4	f	1999-12-30	2014-02-04
LID_101416	37V	2128681	DID_1001247	2	f	2003-11-15	2012-02-07
LID_101417	5E1	3084165	DID_1001248	3	m	2007-09-14	2012-11-27
LID_101418	1C0	2687589	DID_1001249	2	f	2005-11-21	2014-01-21
LID_101419	2C3	4146859	DID_1001250	5	f	2005-11-10	2012-03-06
LID_101420	34P	2983210	DID_1001251	5	m	2000-12-26	2012-01-19
LID_101421	3E4	2647649	DID_1001160	4	m	2006-12-10	2012-11-28
LID_101422	60R	3816779	DID_1001256	1	f	2001-12-03	2012-01-26
LID_101423	2C4	3174073	DID_1001257	5	f	2005-11-06	2012-01-23
LID_101424	9H9	3183156	DID_1001258	3	f	2008-09-13	2013-01-16
LID_101425	9C2	5212608	DID_1001259	5	f	2006-10-25	2012-01-19
LID_101426	20F	4086175	DID_1001335	5	f	1996-02-09	2011-02-07
LID_101427	07D	4303629	DID_1001352	5	m	1995-01-04	2012-02-06
LID_101428	60E	3277954	DID_1001363	5	m	1996-02-09	2011-02-24
LID_101429	81I	3091870	DID_1001608	5	f	1997-12-25	2012-01-30
LID_101430	46N	4400672	DID_1001632	5	m	1999-11-12	2012-02-13
LID_101431	17C	4490069	DID_1001633	5	f	1994-02-05	2012-02-15
LID_101432	X44	4753377	DID_1001642	5	f	1991-03-04	2012-02-16
LID_101433	17L	3187579	DID_1001901	5	m	1999-02-28	2014-12-09
LID_101434	K00	3897034	DID_1001906	5	f	1986-02-17	2014-01-22
LID_101435	17K	3104185	DID_1001934	5	m	1998-11-20	2014-02-12
LID_101436	78I	3196373	DID_1001963	5	f	1997-12-15	2015-11-09
LID_101437	28B	4009344	DID_1001991	4	m	1993-01-20	2015-11-05
LID_101438	30C	4560859	DID_1002009	5	m	1994-01-21	2015-10-20
LID_101439	43F	4001189	DID_1002067	5	f	1996-01-11	2015-11-30
LID_101440	04I	3150159	DID_1002083	5	m	1997-12-09	2015-11-17
