library_id	animal_id	reads_total	reads_mapped	rna_id	batch	sex	dob	sample_date
LID_101441	4L9	18652539	12494958	RID_1000201	1	m	2010-10-16	2015-10-20
LID_101442	3L1	12273354	9016473	RID_1000202	1	m	2010-10-02	2015-12-15
LID_101443	30L	14288916	10322552	RID_1000203	1	m	2000-01-04	2015-10-29
LID_101444	1L9	11621824	8238726	RID_1000204	1	m	2010-12-11	2015-10-29
LID_101445	0L4	29999487	20146358	RID_1000205	1	m	2010-10-14	2015-10-21
LID_101446	0L1	19467648	12628917	RID_1000206	1	m	2010-09-28	2015-11-05
LID_101447	9K4	23725388	18300264	RID_1000207	1	m	2010-09-24	2015-10-22
LID_101448	5K8	9938240	6194428	RID_1000208	1	m	2010-10-25	2015-10-20
LID_101449	5K5	16285653	11600113	RID_1000209	1	m	2010-10-10	2015-10-27
LID_101450	4K3	9569774	6668675	RID_1000210	1	m	2010-09-26	2015-10-29
LID_101451	3K6	18619224	13217568	RID_1000211	1	m	2010-10-06	2015-10-20
LID_101452	78I	15787155	10282744	RID_1000212	1	f	1997-12-15	2015-11-09
LID_101453	0I5	18637523	12281826	RID_1000213	1	f	2008-10-08	2015-12-03
LID_101454	04I	20540435	14992262	RID_1000214	1	m	1997-12-09	2015-11-17
LID_101455	9H7	16084935	10889822	RID_1000215	1	f	2008-10-10	2015-12-10
LID_101456	0G9	11755143	7789388	RID_1000216	1	m	2008-11-09	2015-11-11
LID_101457	9F5	9933873	7133151	RID_1000217	1	m	2007-09-19	2015-11-05
LID_101458	3F4	9762332	7128532	RID_1000218	1	f	2007-12-22	2015-11-30
LID_101459	2F0	22584251	15636824	RID_1000219	1	f	2007-11-01	2015-11-30
LID_101460	9E6	9211946	6740393	RID_1000220	1	m	2007-10-15	2015-12-01
LID_101461	8E8	15823767	12356903	RID_1000221	1	f	2007-10-29	2015-12-07
LID_101462	5E4	21491073	17081157	RID_1000222	1	m	2007-12-02	2015-11-18
LID_101463	5E1	21765473	16790786	RID_1000223	1	m	2007-09-14	2015-12-01
LID_101464	7B3	9403111	6636622	RID_1000228	1	m	2005-10-26	2015-12-09
LID_101465	4B2	13652174	10309411	RID_1000229	1	f	2005-12-07	2015-12-16
LID_101466	28B	8157579	5900524	RID_1000230	1	m	1993-01-20	2015-11-05
LID_101467	2A5	22457647	15331815	RID_1000232	1	f	2005-01-01	2015-12-02
LID_101468	0L0	15461697	9439158	RID_1000233	1	m	2010-10-30	2015-10-28
LID_101469	8K1	41826213	30333655	RID_1000234	1	m	2010-10-02	2015-10-20
LID_101470	01K	9587985	7436834	RID_1000235	1	m	1999-01-28	2015-11-19
LID_101471	8D6	16811385	12767414	RID_1000236	1	m	2006-10-19	2015-10-27
LID_101472	1C5	17632557	13288707	RID_1000237	1	f	2005-10-22	2015-10-20
LID_101473	1A3	14031820	10890143	RID_1000238	1	f	2004-11-26	2015-11-30
LID_101474	94H	12131397	10063123	RID_1000239	1	m	1998-01-16	2015-10-26
LID_101475	1B1	16345064	11543030	RID_1000240	1	m	2004-11-07	2015-10-28
LID_101476	53E	15102962	12902819	RID_1000241	1	f	1996-02-12	2015-10-20
LID_101477	30C	11910615	8114955	RID_1000242	1	m	1994-01-21	2015-10-20
LID_101478	4K2	17993971	14632232	RID_1000243	1	m	2010-10-16	2015-12-01
LID_101479	2A8	13546357	9486378	RID_1000244	1	f	2004-10-20	2015-11-30
LID_101480	4L7	17187869	11210003	RID_1000245	1	m	2010-10-15	2015-10-19
LID_101489	3E2	18915670	15975106	RID_1000224	2	f	2006-10-16	2015-12-14
LID_101490	1E6	18771897	13939695	RID_1000225	2	f	2006-10-28	2015-12-15
LID_101491	7D8	16802329	12950600	RID_1000226	2	f	2006-09-23	2015-12-02
LID_101492	7D7	19934075	14846632	RID_1000227	2	m	2006-10-25	2015-11-10
LID_101493	0B4	14095149	10181676	RID_1000231	2	f	2004-12-05	2015-12-09
LID_101494	3L6	13289407	8702531	RID_1000246	2	m	2010-10-08	2014-10-23
LID_101495	43F	15984155	11780523	RID_1000247	2	f	1996-01-11	2015-11-30
LID_101496	2E8	13306280	7979894	RID_1000248	2	f	2006-10-08	2014-02-04
